Item_Identifier,Item_Weight,Item_Type,Item_MRP,Fat_Content,Outlet_Type,Item_Outlet_Sales
NCG30,20.2,5,123.6046,3,1,2988.1104
NCH29,5.51,13,98.5726,,1,1761.7068
FDV20,20.2,4,129.0678,,1,3560.6984
FDG57,14.7,4,48.5034,1,2,874.8612
FDU60,20,6,168.5132,3,1,2874.9244
NCH30,17.1,5,112.986,,4,113.186
NCM29,11.5,13,132.6626,,4,262.3252
FDB12,11.15,6,104.4648,1,2,2181.1608
FDD53,16.2,8,43.3454,1,1,503.3448
FDI44,16.1,4,76.0328,1,1,1853.5872
FDW56,,4,191.2162,1,3,7504.2318
FDA01,15,11,59.4904,1,2,644.4944
FDG47,12.8,15,263.0252,2,1,2885.5772
FDT40,5.985,8,125.2678,3,1,1017.3424
FDU20,19.35,4,120.3098,3,1,2530.7058
NCP41,16.6,13,109.8596,1,2,1617.894
FDW36,,6,106.2622,1,3,2328.9684
FDN31,11.5,4,189.253,1,1,1328.271
NCU54,8.88,5,207.727,,4,209.727
FDS01,11.6,11,177.9686,3,1,1244.3802
FDA23,9.8,6,101.7016,,1,1518.024
FDY08,9.395,4,139.1838,,1,1685.8056
FDJ28,12.3,8,193.3162,3,1,3078.6592
DRF36,16.1,2,192.6846,3,1,2866.269
FDH44,19.1,4,147.5418,,4,294.2836
NCY54,8.43,5,174.0422,1,1,2069.3064
FDR59,14.5,12,260.4594,,4,1046.6376
DRA59,8.27,2,184.8924,3,1,4442.2176
FDS55,7.02,4,148.0734,,1,1930.1542
FDZ28,20,8,128.0678,,1,1780.3492
DRG49,7.81,2,246.0486,,1,7086.1094
FDH21,,16,158.6604,3,4,316.9208
NCN19,13.1,14,189.853,2,1,3415.554
FDP25,15.2,11,216.5824,,1,5241.1776
DRH59,10.8,10,74.738,3,1,1025.332
FDH09,12.6,16,50.7982,3,1,473.3838
NCK54,12.15,5,115.015,1,1,2912.875
FDT21,7.42,7,248.9092,,1,5976.2208
FDR12,,6,172.4764,3,4,687.1056
FDS25,6.885,11,111.4228,,1,2984.1156
NCL05,,13,42.177,1,3,1255.033
NCI30,20.25,5,246.446,,1,3695.19
FDJ26,15.3,11,214.0218,,1,1068.609
FDA56,9.21,4,122.4414,1,1,1583.9382
FDM33,15.6,7,220.4798,1,2,661.1394
FDP04,15.35,8,62.7168,1,1,958.752
FDR55,12.15,4,190.3872,,1,2836.308
NCZ54,,5,164.0552,1,3,5523.4768
NCA53,11.395,13,50.3034,1,1,972.068
FDL20,17.1,4,111.9886,3,1,3002.0922
FDT26,18.85,1,119.044,3,1,1198.44
NCZ06,19.6,5,251.9698,3,1,4566.0564
FDA04,11.3,8,258.1962,,1,4402.9354
FDD29,,8,255.3698,1,3,4819.7262
FDS56,5.785,4,260.7252,3,1,6033.4796
FDT07,5.82,4,257.633,2,1,1537.998
FDT58,9,7,168.0816,1,2,2181.1608
FDJ10,,7,139.1838,1,3,4916.933
FDN25,7.895,9,59.2588,3,1,801.6232
DRC27,13.8,1,247.4802,,1,1474.0812
FDA38,5.44,1,238.7538,1,1,3605.307
FDM56,16.7,4,109.8912,2,1,873.5296
NCI43,19.85,5,46.9376,2,1,575.2512
FDP36,10.395,6,49.0008,,1,860.2136
DRK49,,2,40.5138,3,4,40.6138
FDW32,,4,87.7882,3,4,515.3292
NCW18,15.1,5,237.9248,1,1,2133.2232
FDQ44,20.5,4,121.2756,1,2,2181.1608
FDL45,15.6,7,124.9704,,1,2253.0672
DRB48,16.75,2,39.9822,3,1,746.3618
FDQ34,10.85,7,104.9622,1,2,1482.0708
FDH17,16.2,8,98.6726,,1,1272.3438
FDN08,7.72,4,116.6466,,4,117.8466
FDK57,,7,120.044,1,3,4434.228
FDK10,5.785,7,180.466,2,1,719.064
FDL39,,1,181.6318,1,3,1263.0226
FDP25,15.2,11,216.3824,3,1,6114.7072
FDC05,13.1,8,196.3768,3,1,2167.8448
FDA39,6.32,3,41.0822,2,1,942.7728
FDZ10,17.85,7,124.902,2,1,1897.53
FDK08,,4,101.2016,1,3,2631.2416
DRD24,13.85,2,141.7154,2,1,2978.1234
DRG48,5.78,2,147.3102,1,2,2332.9632
FDH52,,8,62.1194,3,4,123.8388
FDS25,6.885,11,108.5228,,1,1989.4104
NCH43,8.42,5,216.0192,3,1,2372.9112
DRK01,7.63,2,94.6436,,1,1607.2412
FDD59,10.5,15,80.896,,1,958.752
FDB27,7.575,1,197.7768,,4,197.0768
FDO22,13.5,7,81.396,2,1,1198.44
FDD35,12.15,15,120.244,,1,2277.036
FDR01,5.405,11,197.7742,3,1,796.2968
NCB31,,5,262.291,3,4,525.982
FDC35,7.435,15,208.7638,3,1,3105.957
FDS23,4.635,12,127.0994,,1,2826.9868
FDC33,8.96,4,197.7768,,1,3153.2288
NCF18,18.35,5,191.9504,1,2,5369.0112
FDM36,11.65,6,173.5422,1,1,3448.844
FDJ53,10.5,8,121.3098,1,1,1446.1176
NCL17,7.39,13,140.7812,1,2,1567.2932
FDW27,,3,154.5314,1,3,1396.1826
FDA32,14,4,215.7192,3,1,1078.596
FDA03,18.5,1,145.8102,,4,291.6204
FDW09,13.65,7,79.6302,,1,554.6114
FDN09,14.15,7,244.1828,,1,731.0484
FDM08,10.1,4,225.6088,,1,4250.4672
FDX01,10.1,11,117.615,1,2,1514.695
DRO35,13.85,10,115.0492,1,1,4054.722
FDS31,13.1,4,178.5318,,1,3067.3406
NCM53,18.75,13,104.828,1,1,2343.616
FDI16,14,8,52.064,2,1,852.224
DRF36,16.1,2,192.8846,1,1,5350.3688
FDW49,,11,179.9002,1,3,4119.3046
FDB58,,7,141.7154,3,4,425.4462
NCJ18,12.35,5,119.8124,,1,2133.2232
FDL51,20.7,1,215.0876,,1,5145.3024
FDS03,7.825,3,62.7826,1,2,1162.4868
NCO54,,5,53.6614,3,4,165.7842
FDA48,12.1,6,222.0114,,1,3547.3824
NCK06,,5,123.1756,1,3,1211.756
NCZ54,14.65,5,162.4552,,1,2274.3728
FDW39,,3,177.237,1,3,4763.799
FDI09,20.75,16,238.188,3,1,5033.448
NCO02,11.15,14,65.0142,1,1,1120.5414
DRF13,12.1,2,144.3444,1,1,2612.5992
FDK25,11.6,9,168.3474,,1,4548.0798
FDZ38,17.6,1,173.7422,,1,5863.0348
NCQ42,,5,127.9678,3,4,254.3356
FDM14,,11,108.9254,1,3,2713.135
FDC20,10.65,4,54.0272,3,1,447.4176
FDW32,18.35,4,86.2882,1,2,1631.8758
FDQ19,7.35,4,241.3512,,1,5331.7264
FDE08,18.2,4,146.4734,1,1,3563.3616
FDC29,8.39,8,116.0176,1,1,1603.2464
FDV50,14.3,1,121.973,2,1,2709.806
FDF11,10.195,15,239.8538,,1,4086.0146
FDN09,14.15,7,245.3828,1,2,1705.7796
DRG37,16.2,2,153.7972,,1,1402.1748
NCV06,,5,195.2478,1,3,7168.6686
DRJ13,12.65,2,159.9578,,4,962.7468
DRF25,,2,37.319,1,3,1281.665
FDE53,10.895,8,107.228,,4,426.112
FDS08,5.735,4,176.337,3,1,1764.37
FDO23,17.85,12,93.7436,,1,1701.7848
FDT07,5.82,4,255.433,3,1,4357.661
NCX29,10,13,146.9102,3,1,3207.8244
FDG22,17.6,7,38.119,3,1,732.38
DRJ47,,10,173.308,1,3,6751.212
FDL43,10.1,3,77.567,2,1,306.268
FDZ43,,4,241.2512,1,3,8239.9408
FDZ21,17.6,7,97.241,3,1,193.082
FDJ50,8.645,11,53.3982,3,1,1209.7586
FDV35,19.5,12,155.9314,3,1,3878.285
FDW56,7.68,4,190.8162,,1,2693.8268
DRL35,15.7,10,43.277,,1,649.155
FDR01,5.405,11,199.0742,,1,4777.7808
FDS24,20.85,6,86.9514,,1,1416.8224
NCL17,7.39,13,140.4812,,1,2422.1804
FDS13,6.465,11,263.1884,1,2,2914.8724
FDB59,18.25,7,197.6084,,1,2380.9008
FDW26,,1,222.3772,1,3,1556.6404
FDQ12,,6,230.001,3,4,689.103
FDX59,10.195,12,31.9558,2,1,373.5138
FDL36,15.1,6,91.583,,1,539.298
FDQ55,13.65,4,114.8834,1,2,1612.5676
FDV46,,7,141.418,3,4,559.272
FDM28,,8,181.466,3,4,179.766
FDT40,5.985,8,125.2678,,1,763.0068
DRJ11,9.5,10,189.9872,,4,756.3488
FDD51,11.15,1,44.7744,,1,181.0976
NCT17,,13,188.6214,1,3,6029.4848
NCW17,18,13,126.8994,3,1,3083.9856
NCY29,,13,56.293,3,4,113.186
DRH36,16.2,2,73.4696,2,1,2087.9488
FDB17,13.15,8,179.7976,1,1,2535.3664
NCA17,20.6,13,148.4392,2,1,1789.6704
FDT27,11.395,3,234.6616,3,1,4687.232
FDR32,6.78,4,229.5694,2,1,3425.541
FDG41,8.84,8,110.7228,1,1,1657.842
FDX25,16.7,11,184.0292,3,1,3101.2964
FDG56,13.3,4,63.2536,,1,1347.5792
FDN16,12.6,8,102.399,,1,2270.378
FDD47,7.6,15,172.3448,3,1,2556.672
FDR12,12.6,6,170.5764,2,1,3779.0808
FDS33,6.67,7,90.0514,1,1,1505.3738
NCC55,10.695,5,36.7848,3,1,782.9808
FDA38,,1,241.1538,3,4,480.7076
FDK44,16.6,4,173.5738,3,1,1911.5118
FDZ57,10,7,127.2994,3,1,642.497
NCN14,19.1,14,185.2608,,1,1470.0864
NCB06,17.6,13,161.792,,4,159.792
DRL01,19.5,2,235.3958,1,1,6309.7866
FDU10,10.1,7,38.4848,1,1,633.8416
NCS38,8.6,5,112.6176,1,2,3091.9752
FDQ16,19.7,8,109.1912,2,1,1637.868
FDS40,15.35,8,37.219,,1,805.618
FDE36,5.26,6,162.6868,,1,3767.0964
FDV31,9.8,4,175.337,,1,529.311
NCD42,16.5,13,39.3506,,1,645.1602
FDT20,10.5,4,40.1164,3,1,849.5608
NCN19,13.1,14,191.353,1,2,1328.271
FDW21,,7,98.8358,1,3,2010.716
FDF34,9.3,7,196.5084,,1,4364.9848
FDI28,14.3,8,79.6302,,1,792.302
FDG44,,4,55.7298,1,3,2804.3496
DRF60,10.8,2,240.3564,,1,4290.4152
FDQ36,,6,38.1848,3,4,37.2848
FDP34,12.85,7,157.763,1,2,2659.871
FDA20,6.78,4,184.624,3,1,5406.296
FDE41,9.195,8,85.5566,3,1,930.1226
DRK47,7.905,10,229.2694,3,1,1826.9552
FDY10,17.6,7,115.4176,,1,1145.176
FDI02,15.7,11,112.0202,,1,3150.5656
FDE41,,8,83.7566,3,4,253.6698
FDZ52,19.2,8,112.7886,2,1,1779.0176
FDG50,7.405,11,92.7146,1,2,1185.7898
DRL01,19.5,2,233.9958,,4,467.3916
FDV48,9.195,6,78.1644,,1,1414.1592
FDR48,11.65,6,151.1024,,1,1518.024
NCD54,21.1,5,146.1786,2,1,3034.0506
NCT54,8.695,5,93.2094,,1,666.4658
FDH02,7.27,11,89.0488,2,1,181.0976
NCD43,8.85,5,105.6964,2,1,210.3928
FDE46,18.6,7,152.9366,3,1,1662.5026
NCO42,,5,144.6102,1,3,3791.0652
FDR40,9.1,8,78.7618,1,1,402.809
FDG24,7.975,6,82.425,1,1,749.025
NCO17,10,13,121.444,,1,2516.724
FDF22,6.865,7,214.0218,3,1,5556.7668
FDC59,16.7,15,65.5168,3,1,1022.6688
NCY18,7.285,5,174.9054,,4,525.3162
DRE48,8.43,2,196.2768,,1,1576.6144
FDV60,20.2,6,194.611,,4,392.822
FDB56,8.75,4,187.6556,1,1,5257.1568
FDL20,,4,111.1886,1,3,4447.544
NCZ53,,13,190.4214,1,3,5652.642
DRM35,9.695,10,177.5344,3,1,3033.3848
FDV16,7.75,8,35.2558,3,1,780.9834
FDY19,19.75,4,115.8466,2,1,2474.7786
FDY12,9.8,6,50.8008,,4,101.2016
FDM15,11.8,3,152.4366,,1,3929.5516
FDP12,9.8,6,36.8874,1,1,564.5984
FDT21,7.42,7,248.0092,2,1,1245.046
DRE49,20.75,2,151.8024,,4,151.8024
FDN16,12.6,8,103.999,1,1,825.592
FDE04,19.75,8,179.566,1,2,2696.49
FDC51,10.895,1,122.973,2,1,1231.73
FDO04,16.6,8,53.5614,1,2,939.4438
FDD41,6.765,8,105.3306,,1,2090.612
FDI45,13.1,4,175.8054,,1,2801.6864
NCB18,,5,89.5514,1,3,3364.9532
FDW51,6.155,3,213.956,,1,2343.616
NCK07,10.65,14,164.1526,3,1,1808.9786
FDZ45,,7,197.9084,3,4,992.042
FDB37,20.25,6,241.8538,3,1,5768.4912
FDZ60,20.5,6,106.0596,3,1,970.7364
FDN04,11.8,8,176.8344,2,1,3568.688
FDW47,15,12,120.0414,2,1,3533.4006
FDB17,13.15,8,180.7976,2,1,6157.3184
FDR56,15.5,4,198.9768,1,2,4729.8432
FDU55,,4,260.6278,1,3,9371.8008
FDH40,11.6,8,81.7276,,1,1949.4624
FDH05,14.35,8,231.8984,1,1,4633.968
FDX58,13.15,7,182.695,,1,4211.185
FDC51,10.895,1,121.673,3,1,1970.768
NCR05,10.1,13,199.5084,,1,3372.9428
DRH25,18.7,2,50.8324,,1,934.7832
NCR53,12.15,13,224.0404,1,1,3375.606
FDS04,10.195,8,138.6838,3,1,2388.2246
FDC03,8.575,1,193.3794,2,1,780.3176
FDP44,16.5,4,102.2332,,4,102.5332
FDK16,9.065,8,95.3094,1,2,1713.7692
NCC30,16.6,5,178.7344,3,1,1605.9096
FDZ26,11.6,1,238.5222,,4,717.0666
NCO54,19.5,5,57.1614,1,2,1381.535
NCP41,16.6,13,106.2596,,4,215.7192
DRE27,11.85,1,98.0726,1,1,1076.5986
FDQ10,12.85,7,170.6422,2,1,2931.5174
NCU42,9,5,170.0474,1,1,4211.185
FDX43,5.655,4,165.85,3,1,1830.95
NCD19,8.93,5,55.1614,3,1,939.4438
NCI54,15.2,5,108.1912,3,1,1856.2504
FDS37,7.655,11,114.1492,,4,115.8492
FDO25,,11,209.027,1,3,4613.994
FDS57,15.5,7,143.547,1,1,1431.47
FDI52,18.7,8,122.1072,1,1,490.0288
DRK12,9.5,2,31.89,1,2,366.19
FDG40,13.65,8,34.4558,,1,611.2044
FDU49,19.5,11,86.254,,1,2163.85
FDR49,8.71,11,46.5376,2,1,575.2512
FDF40,,1,247.8092,3,4,498.0184
DRE03,19.6,1,46.3718,,1,661.8052
FDR55,,4,189.1872,1,3,5294.4416
NCU05,11.8,13,82.3618,3,1,1208.427
FDR36,6.715,6,40.3454,,1,838.908
NCM30,19.1,5,39.6796,2,1,660.4736
FDH24,20.7,6,156.6288,1,1,3928.22
DRO47,10.195,10,113.986,1,2,452.744
FDQ49,20.2,9,155.163,,1,782.315
DRJ37,10.8,2,151.9024,3,1,2580.6408
NCJ42,19.75,5,100.8332,1,2,1537.998
FDD05,19.35,8,120.9098,1,1,1687.1372
FDC39,7.405,1,206.6296,1,2,3115.944
NCY06,15.25,5,128.8968,,1,2348.9424
NCS06,,5,263.591,3,4,262.991
FDE16,8.895,8,207.8954,,1,3542.7218
NCQ50,18.75,5,215.2218,3,1,4701.8796
FDX50,20.1,1,110.3228,3,1,1768.3648
NCL41,12.35,13,35.7216,,1,519.324
FDM58,16.85,7,111.8544,1,2,1677.816
FDH35,18.25,15,166.3526,,4,164.4526
FDS50,17,1,219.8114,1,1,1108.557
FDT09,,7,133.2284,1,3,4350.3372
FDR60,14.3,6,76.7328,1,2,1312.9576
FDG22,17.6,7,35.019,3,1,659.142
FDL52,,8,37.9506,1,3,910.8144
DRJ39,20.25,1,218.3482,1,2,2409.5302
FDW45,18,7,145.1418,,1,2648.5524
NCQ38,16.35,14,106.028,,1,1065.28
FDB26,14,11,53.764,,1,798.96
DRG48,5.78,2,145.2102,3,1,3062.0142
FDH10,21,7,191.8478,,4,774.9912
FDP28,13.65,8,262.8936,1,1,4958.8784
FDJ44,12.3,4,173.1396,,4,697.7584
FDI07,12.35,3,196.9426,,1,2768.3964
DRJ24,11.8,2,185.1924,,1,2591.2936
DRL47,19.7,10,127.3362,3,1,755.0172
FDP38,10.1,11,50.9008,2,1,354.2056
FDK02,,11,120.544,3,4,479.376
FDO23,17.85,12,94.1436,2,1,1607.2412
NCE54,20.7,5,74.6354,2,1,1053.2956
FDS52,8.89,8,99.7016,3,1,1922.8304
FDW01,14.5,11,153.4682,3,1,1677.1502
NCF07,9,5,100.8016,,1,1113.2176
DRE15,13.35,1,77.5012,1,2,1518.024
FDR58,6.675,7,92.3462,3,1,2406.2012
FDL24,10.3,6,173.0422,2,1,2069.3064
FDQ25,,11,173.7422,1,3,3621.2862
FDX56,17.1,4,207.0638,2,1,4969.5312
FDD20,14.15,4,123.6046,1,2,1245.046
DRF60,10.8,2,236.5564,,1,5243.8408
FDW13,8.5,11,51.3324,1,2,934.7832
FDF09,6.215,4,39.2848,2,1,521.9872
FDY45,17.5,7,253.0356,3,1,4578.0408
FDR26,20.7,1,178.3028,,1,1062.6168
FDZ01,8.975,11,103.399,3,1,2579.975
FDH53,20.5,8,83.9592,,4,165.1184
FDG52,13.65,8,46.1402,1,2,459.402
FDW50,13.1,1,167.5158,,1,1504.0422
FDX49,4.615,11,232.23,3,1,5126.66
FDJ44,12.3,4,172.8396,3,1,2616.594
NCI31,,14,37.519,1,3,842.237
FDZ52,19.2,8,112.4886,3,1,1223.0746
FDE17,20.1,8,152.1366,1,1,755.683
FDG34,11.5,7,109.5254,1,2,1953.4572
FDE26,9.3,11,143.0786,,4,288.9572
FDD56,15.2,4,176.5054,1,2,2976.7918
FDR52,12.65,8,191.3846,,1,2675.1844
FDQ13,11.1,11,84.1908,3,1,755.0172
NCJ42,,5,102.7332,3,4,410.1328
FDH10,,7,192.6478,3,4,387.4956
NCG42,19.2,5,131.231,3,1,3635.268
FDT31,19.75,4,187.5872,,1,1323.6104
DRD25,6.135,2,112.686,,1,2942.836
FDR35,12.5,12,199.1742,3,1,4379.6324
FDL33,7.235,7,193.9452,,1,2936.178
FDT45,15.85,7,53.3956,3,1,600.5516
FDT16,9.895,8,260.5278,,1,8851.1452
DRE49,20.75,2,153.0024,3,1,2428.8384
DRF60,10.8,2,239.9564,1,1,3813.7024
NCB54,8.76,13,128.3336,1,1,2556.672
FDH20,16.1,4,97.341,1,1,1255.033
FDA31,7.1,4,172.908,3,1,2769.728
FDE33,19.35,4,76.8644,,1,1571.288
FDM12,16.7,6,189.2214,,4,188.4214
FDW44,9.5,4,168.6448,2,1,1022.6688
DRE48,8.43,2,197.8768,2,1,3744.4592
NCX18,14.15,5,196.511,,1,2749.754
FDA38,5.44,1,239.1538,1,2,480.7076
FDQ19,7.35,4,242.6512,2,1,969.4048
FDY47,,12,129.131,1,3,4933.578
FDE17,20.1,8,151.3366,2,1,2720.4588
FDY25,12,11,181.8976,3,1,4527.44
FDT03,21.25,3,185.5608,3,1,3123.9336
FDB49,8.3,6,98.0384,,1,2857.6136
FDL43,10.1,3,76.067,,1,1454.773
FDE47,14.15,15,123.5046,,1,1992.0736
FDS49,9,11,78.3644,,1,1728.4168
FDU23,12.15,12,163.6184,1,2,2311.6576
FDU38,,1,192.9504,1,3,7478.2656
FDV09,,7,148.0734,3,4,593.8936
FDR20,20,4,45.5744,1,1,452.744
FDY11,6.71,6,65.8142,3,1,856.8846
FDG40,,8,31.9558,1,3,984.7182
FDX20,7.365,4,228.372,,1,2037.348
FDZ27,7.935,1,50.035,2,1,149.805
FDH09,12.6,16,51.3982,,1,473.3838
FDG29,17.6,8,42.7454,1,1,293.6178
NCA30,19,5,190.1872,1,1,5105.3544
NCL53,7.5,13,175.3028,,1,3010.7476
DRE15,13.35,1,77.6012,3,1,986.7156
NCS38,8.6,5,112.9176,3,1,458.0704
FDY21,,7,196.011,3,4,589.233
FDB58,10.5,7,140.6154,,4,283.6308
FDH41,9,8,213.3534,3,1,1935.4806
DRF23,4.61,10,172.4396,1,1,1569.9564
FDE05,10.895,8,146.2102,,4,437.4306
FDY10,17.6,7,112.7176,1,1,1717.764
FDS43,11.65,4,188.224,1,1,1304.968
NCM30,19.1,5,41.9796,1,1,784.3124
FDY49,17.2,11,165.7184,,1,1816.3024
FDN02,16.5,11,206.8638,,1,2070.638
FDP37,15.6,9,128.0994,,1,2184.4898
NCF07,9,5,99.6016,3,1,1922.8304
FDJ09,15,7,44.0744,2,1,633.8416
FDO23,,12,94.3436,1,3,2269.0464
FDH09,,16,52.4982,1,3,1209.7586
FDX34,6.195,7,119.3098,1,1,1205.098
FDV60,20.2,6,197.311,1,1,3338.987
FDE32,20.7,4,38.7506,2,1,227.7036
NCI30,20.25,5,245.046,1,2,4680.574
FDS37,7.655,11,117.7492,2,1,695.0952
FDC57,,4,193.982,3,4,579.246
DRC01,5.92,2,49.0692,,1,1478.076
DRD27,18.75,1,99.0042,,1,694.4294
FDI12,9.395,6,88.3856,,1,703.0848
FDQ33,13.35,7,149.3708,3,1,4514.124
FDQ27,,3,101.399,3,4,206.398
NCB07,19.2,5,196.211,,4,589.233
FDC08,19,4,226.172,2,1,3169.208
FDD20,14.15,4,124.2046,3,1,2490.092
FDS24,20.85,6,88.1514,3,1,1151.1682
FDH34,8.63,7,186.0582,,1,3900.9222
NCX30,16.7,5,248.4776,1,2,6439.6176
FDM01,7.895,9,104.5332,3,1,1845.5976
FDB20,7.72,4,77.9986,2,1,934.7832
NCK29,5.615,13,121.573,,1,3202.498
FDS11,7.05,12,224.9088,1,1,2684.5056
NCV41,14.35,13,109.2228,,4,221.0456
DRL60,8.52,2,151.7682,1,1,2439.4912
FDV10,7.645,7,44.0112,,1,596.5568
FDV09,12.1,7,149.5734,1,2,2227.101
FDQ39,14.8,3,192.4846,3,1,5159.2842
DRE49,20.75,2,153.6024,1,2,1366.2216
FDR45,10.8,7,238.6222,,1,8604.7992
DRJ23,18.35,10,190.2872,,4,378.1744
FDQ26,13.5,1,58.6562,1,2,711.0744
NCA06,20.5,5,34.819,,1,1061.951
FDT24,12.35,6,78.6328,1,2,1004.0264
DRG27,8.895,1,39.1138,,1,609.207
FDR02,16.7,1,110.8886,,1,3558.0352
DRG37,16.2,2,155.8972,3,1,2025.3636
FDJ07,7.26,3,118.115,1,2,1864.24
FDP32,6.65,4,126.7678,1,1,1907.517
FDV59,13.35,12,218.9166,3,1,5660.6316
FDP60,17.35,6,99.8016,3,1,607.2096
FDE32,,4,39.6506,1,3,1024.6662
FDK26,5.46,11,187.424,,1,3169.208
FDW28,18.25,8,197.3452,3,1,2740.4328
FDP56,8.185,4,47.7692,1,1,640.4996
FDT25,7.5,11,122.2072,3,1,1960.1152
FDQ12,12.65,6,230.601,3,1,2067.309
FDR60,14.3,6,77.2328,3,1,231.6984
FDZ10,17.85,7,128.002,,4,253.004
FDM13,6.425,9,130.5626,,4,131.1626
FDF26,6.825,11,153.4998,,1,2153.1972
FDN02,,11,205.3638,1,3,5383.6588
NCI30,20.25,5,245.546,2,1,1724.422
NCJ31,19.2,14,243.0196,1,1,3615.294
NCQ54,17.7,5,166.8474,,4,168.4474
FDB02,9.695,11,175.437,,1,2999.429
FDC02,,11,259.3278,1,3,4165.2448
FDA11,7.75,6,95.6436,,1,1134.5232
DRI23,,10,159.6578,1,3,2888.2404
FDE04,19.75,8,179.866,1,1,2696.49
FDW38,5.325,1,55.5298,,4,53.9298
FDG46,,7,115.4518,3,4,113.8518
NCJ05,,13,152.3682,1,3,2287.023
FDU01,,11,185.1924,3,4,555.2772
FDY11,6.71,6,66.6142,,1,1120.5414
FDX60,14.35,6,79.296,2,1,719.064
NCN29,15.2,13,47.8034,1,1,437.4306
FDT07,5.82,4,256.633,1,1,2050.664
FDI21,5.59,7,61.9168,1,2,1214.4192
FDI41,18.5,8,148.0418,3,1,2059.9852
FDE10,,7,133.1626,1,3,3672.5528
FDQ28,14,8,153.5656,3,1,3089.312
FDY32,7.605,4,165.021,,4,815.605
NCK05,,13,61.1536,3,4,61.2536
FDH12,9.6,6,107.128,,1,1278.336
FDJ27,17.7,3,103.8674,,1,1528.011
DRL35,15.7,10,43.377,,4,129.831
NCY29,13.65,13,55.093,,1,1301.639
FDC21,14.6,4,110.1254,,1,1844.9318
FDM33,15.6,7,220.1798,,1,5068.7354
DRJ39,20.25,1,217.5482,2,1,1095.241
FDB22,8.02,7,151.9998,,4,307.5996
FDC32,18.35,4,93.8462,2,1,1295.6468
FDD02,16.6,11,118.8124,3,1,2607.2728
FDL28,10,8,228.6668,3,1,3455.502
FDL39,16.1,1,179.4318,1,1,2345.6134
FDV37,13,11,196.2426,,4,197.7426
FDA28,16.1,8,126.5362,,1,1761.7068
FDL04,19,8,105.5622,1,1,1905.5196
FDR10,17.6,7,163.5552,3,1,3086.6488
FDA39,6.32,3,39.1822,,1,1060.6194
FDR15,9.3,3,153.1314,3,1,4653.942
FDQ40,11.1,8,175.0712,,1,3339.6528
DRG23,,10,151.2682,1,3,2439.4912
FDU36,6.15,6,99.4384,2,1,1379.5376
FDF47,20.85,15,223.9746,3,1,897.4984
FDH14,17.1,11,141.4838,3,1,1404.838
FDO45,13.15,7,86.3856,1,2,615.1992
FDK60,16.5,6,95.7068,3,1,1069.2748
FDS43,11.65,4,185.924,,1,4101.328
FDN44,13.15,4,160.292,1,1,4793.76
FDS34,19.35,7,113.9518,1,1,1138.518
FDU20,19.35,4,122.2098,,1,2771.7254
FDP44,16.5,4,101.4332,2,1,1948.1308
FDC02,21.35,11,258.5278,3,1,5206.556
FDT56,16,4,57.5246,3,1,173.7738
NCA06,20.5,5,34.919,2,1,73.238
FDE04,19.75,8,180.466,2,1,3415.554
NCX06,17.6,5,179.1976,,1,3803.0496
FDX49,4.615,11,234.33,,1,3961.51
DRM59,5.88,10,154.1998,1,2,1384.1982
FDJ34,11.8,7,126.0704,1,1,1251.704
FDP60,17.35,6,101.9016,2,1,1821.6288
FDI07,12.35,3,196.9426,3,1,5141.3076
FDV07,,4,111.0228,1,3,3205.1612
FDH41,9,8,214.1534,,1,1720.4272
NCB31,6.235,5,263.291,1,1,3418.883
FDW34,9.6,7,244.817,3,1,4374.306
FDX45,16.75,7,156.163,,1,782.315
FDH14,17.1,11,141.3838,1,1,1685.8056
FDF26,6.825,11,154.5998,,4,153.7998
FDU24,6.78,6,92.212,,1,4101.328
FDX11,16,6,181.9634,1,2,3453.5046
FDF35,15,15,105.9938,3,1,1179.1318
NCC43,7.39,5,251.3066,1,2,1004.0264
FDG29,17.6,8,42.5454,3,1,419.454
FDS44,12.65,4,239.6538,3,1,3845.6608
FDZ10,17.85,7,127.102,3,1,2024.032
FDC52,11.15,1,150.4708,2,1,1956.1204
DRL35,15.7,10,42.877,3,1,1168.479
NCP55,14.65,14,56.4614,,4,55.2614
FDV38,,1,55.0956,1,3,2020.0372
FDL44,18.25,4,160.4894,,1,3073.9986
FDZ47,20.7,6,98.7042,,1,1884.8798
FDT45,15.85,7,53.3956,3,1,1364.89
FDN23,6.575,12,145.7444,1,1,3193.1768
NCP43,17.75,14,177.866,,1,2336.958
DRJ24,,2,185.2924,3,4,370.1848
FDA02,,1,143.5786,1,3,3756.4436
FDH33,,7,44.9428,3,4,175.7712
FDF56,16.7,4,181.2976,,1,3078.6592
NCN26,10.85,5,115.1808,3,1,2109.2544
FDD22,10,7,113.7544,1,1,3243.7776
FDU15,13.65,3,37.9532,,4,71.9064
FDB41,19,8,46.8718,,4,189.0872
FDZ35,9.6,12,102.499,,1,2579.975
FDT60,12,6,124.1388,,1,1486.0656
FDE51,5.925,1,43.8086,3,1,312.2602
NCQ06,13,5,254.5014,3,1,4845.0266
FDS28,8.18,8,58.5588,,1,171.7764
FDH32,12.8,4,96.541,,1,1834.279
FDW37,19.2,11,89.7488,,1,2082.6224
FDY33,14.5,7,159.4262,3,1,2705.1454
FDF17,5.19,8,196.811,,1,3731.809
FDG56,13.3,4,61.0536,2,1,1592.5936
NCB18,19.6,5,88.8514,2,1,2125.2336
